time grd_truth(x) grd_truth(y) grd_truth(vx) grd_truth(vy) est(x) est(y) est(vx) est(vy) RMSE(x) RMSE(y) RMSE(vx) RMSE(vy) x(x) x(y) x(v) x(yaw) x(yawd) P(0,0) P(0,1) P(0,2) P(0,3) P(0,4) P(1,0) P(1,1) P(1,2) P(1,3) P(1,4) P(2,0) P(2,1) P(2,2) P(2,3) P(2,4) P(3,0) P(3,1) P(3,2) P(3,3) P(3,4) P(4,0) P(4,1) P(4,2) P(4,3) P(4,4)
1477010443000000 0.6 0.6 5.19994 0 0.312243 0.58034 4 0 0.312243 0.58034 4 0 0.287757 0.0196602 1.19994 0 0 0.15 0 0 0 0 0 0.15 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
1477010443050000 0.859997 0.600045 5.19975 0.00179686 0.684238 0.567853 2.69295 3.40669 0.684238 0.567853 4.34252 0.901882 0.238428 0.0266724 1.96518 2.40762 0.0608797 0.0487352 0.0203196 0.00843497 -0.0312106 -0.00129533 0.0203196 0.0484912 -0.0097972 -0.0100036 -0.00147595 0.00843497 -0.0097972 0.9195 -0.241656 -0.016318 -0.0312106 -0.0100036 -0.241656 0.165252 -0.00583341 -0.00129533 -0.00147595 -0.016318 -0.00583341 0.997765
1477010443100000 1.11998 0.600225 5.19943 0.00538996 1.06699 0.581782 3.95649 2.59916 1.06699 0.581782 4.73386 0.581235 0.197065 0.0242416 1.75773 2.47123 0.0343715 0.0166407 0.001325 0.0198844 -0.0172229 -0.00135141 0.001325 0.0149073 -0.00722937 0.00480762 0.000482949 0.0198844 -0.00722937 0.853495 -0.183682 -0.0116653 -0.0172229 0.00480762 -0.183682 0.116424 0.0400988 -0.00135141 0.000482949 -0.0116653 0.0400988 0.998991
1477010443150000 1.37996 0.600629 5.19898 0.0107781 1.29233 0.535171 4.29706 1.9383 1.29233 0.535171 4.714 0.423749 0.176197 0.0388834 1.58763 2.34714 -0.0682712 0.0114693 0.00536521 0.00218714 -0.00646166 0.000396565 0.00536521 0.00491163 0.00123847 -0.0012523 0.00152771 0.00218714 0.00123847 0.0921212 0.000964307 0.0221101 -0.00646166 -0.0012523 0.000964307 0.0484631 0.0669747 0.000396565 0.00152771 0.0221101 0.0669747 0.991286
1477010443200000 1.6399 0.601347 5.19839 0.0179597 1.55655 0.638707 4.42486 1.69436 1.55655 0.638707 4.73817 0.365696 0.161944 0.0385834 1.46155 2.2292 -0.112089 0.00833404 0.00158103 0.00372139 -0.00798337 -0.00609532 0.00158103 0.00506139 0.00225249 0.00886157 0.0170733 0.00372139 0.00225249 0.0932313 0.00293521 0.0211779 -0.00798337 0.00886157 0.00293521 0.0494604 0.105573 -0.00609532 0.0170733 0.0211779 0.105573 0.974637
1477010443250000 1.89982 0.60247 5.19766 0.0269323 1.8334 0.603426 4.99038 0.551768 1.8334 0.603426 5.02079 0.110119 0.150301 0.0352239 1.33689 2.04622 -0.544128 0.00761915 0.00185981 0.00391693 -0.00403075 -0.000595974 0.00185981 0.00332307 0.00154666 0.00402625 0.0103661 0.00391693 0.00154666 0.0464848 -9.51287e-05 0.00382874 -0.00403075 0.00402625 -9.51287e-05 0.0211291 0.0765598 -0.000595974 0.0103661 0.00382874 0.0765598 0.827323
1477010443300000 2.1597 0.604086 5.19678 0.0376932 2.1098 0.634296 5.03034 0.371349 2.1098 0.634296 5.04403 0.0736883 0.140424 0.0345523 1.23931 1.89862 -0.531515 0.0060743 0.000390405 0.00456259 -0.00364808 -0.00258733 0.000390405 0.00535381 0.00124488 0.00883001 0.0263749 0.00456259 0.00124488 0.0476106 0.000419173 0.00246943 -0.00364808 0.00883001 0.000419173 0.0255832 0.103965 -0.00258733 0.0263749 0.00246943 0.103965 0.788054
1477010443350000 2.41954 0.606284 5.19573 0.0502389 2.33438 0.660941 5.05634 0.445194 2.33438 0.660941 5.0759 0.0878202 0.134761 0.037657 1.16032 1.78148 -0.402988 0.00583057 0.000633858 0.0048734 -0.0020715 0.000428863 0.000633858 0.00376332 -0.000343531 0.00506493 0.015547 0.0048734 -0.000343531 0.0338303 -0.00434568 -0.0238003 -0.0020715 0.00506493 -0.00434568 0.0149984 0.0721677 0.000428863 0.015547 -0.0238003 0.0721677 0.560292
1477010443400000 2.67932 0.609155 5.1945 0.0645654 2.60081 0.676336 5.08487 0.284645 2.60081 0.676336 5.09283 0.0559205 0.129721 0.041976 1.09457 1.6812 -0.425984 0.00504371 -8.09882e-05 0.00520695 -0.00208349 -0.00175483 -8.09882e-05 0.00573749 -0.00105994 0.00828896 0.027678 0.00520695 -0.00105994 0.034707 -0.0043775 -0.0214862 -0.00208349 0.00828896 -0.0043775 0.0192597 0.0863045 -0.00175483 0.027678 -0.0214862 0.0863045 0.515929
1477010443450000 2.93904 0.612786 5.19309 0.080668 2.87285 0.66561 5.17532 0.0568937 2.87285 0.66561 5.17563 0.0109928 0.124832 0.0431836 1.03841 1.59494 -0.465631 0.00493014 0.00012817 0.00487576 -0.00138073 -0.00057793 0.00012817 0.00464087 -0.0012909 0.00608602 0.0197021 0.00487576 -0.0012909 0.0276361 -0.00503822 -0.0244566 -0.00138073 0.00608602 -0.00503822 0.0143598 0.0639897 -0.00057793 0.0197021 -0.0244566 0.0639897 0.35906
